date,btc:open,btc:high,btc:low,btc:close,btc:volume,btc:macd,btc:macd_diff,btc:macd_signal,btc:rsi,btc:bb_bbm,btc:bb_bbh,btc:bb_bbl,btc:atr,btc
2021-10-24,61368.34375,61505.804688,59643.34375,60930.835938,27316183882,3575.904947808129,-172.34980750631667,3748.2547553144454,60.94404956351407,58709.2953127,66398.75361775441,51019.83700764559,2788.9602662065295,60930.835938
2021-10-25,60893.925781,63729.324219,60691.800781,63039.824219,31064911614,3511.8222989721326,-189.14596507385068,3700.9682640459832,64.81199491760688,59285.54589865,66440.8299326456,52130.26186465441,2806.714778477492,63039.824219
2021-10-26,63032.761719,63229.027344,59991.160156,60363.792969,34878965587,3208.1217501807114,-394.27721109221784,3602.3989612729292,57.08646988096754,59535.66308615,66471.12785615037,52600.198316149625,2837.511379157672,60363.792969
2021-10-27,60352.0,61435.183594,58208.1875,58482.386719,43657076893,2783.536243290786,-655.0901743857148,3438.6264176765008,52.36088390113584,59769.48320335,66214.48272092988,53324.483685770116,2865.331715932124,58482.386719
2021-10-28,58470.730469,62128.632813,58206.917969,60622.136719,45257083247,2589.8548775702875,-679.0172320849706,3268.872109655258,56.74630068433158,60102.1976565,65976.61947919545,54227.77583380456,2940.787653651258,60622.136719
2021-10-29,60624.871094,62927.609375,60329.964844,62227.964844,36856881767,2536.696451406715,-585.7405265988345,3122.4369780055495,59.74149839067546,60465.1847659,65907.06224986973,55023.30728193027,2916.2774306047395,62227.964844
2021-10-30,62239.363281,62330.144531,60918.386719,61888.832031,32157938616,2439.0865603394486,-546.680334132881,2985.7668944723296,58.81520768136684,60821.047461199996,65619.94322061562,56022.15170178437,2808.811743561543,61888.832031
2021-10-31,61850.488281,62406.171875,60074.328125,61318.957031,32241199927,2289.3556022629346,-557.1290337675164,2846.484636030451,57.20997701943232,61012.755859599994,65563.12406862403,56462.387650575954,2774.74260116429,61318.957031
2021-11-01,61320.449219,62419.003906,59695.183594,61004.40625,36150572843,2120.863130046142,-580.4972047874471,2701.360334833589,56.296650197783435,61260.92324239999,65199.953813643966,57321.89267115602,2771.105294795412,61004.40625
2021-11-02,60963.253906,64242.792969,60673.054688,63226.402344,37746665647,2141.937227630755,-447.53848576226756,2589.4757133930225,61.02954762414918,61552.1884768,65153.52031410602,57950.856639493984,2828.1505080957404,63226.402344
2021-11-03,63254.335938,63516.9375,61184.238281,62970.046875,36124731509,2113.5887227682106,-380.7095924998498,2494.2983152680604,60.21927370825573,61834.61464865001,64912.42100798695,58756.80828931306,2792.7611303031877,62970.046875
2021-11-04,62941.804688,63123.289063,60799.664063,61452.230469,32615846901,1946.2125031207033,-438.4686497178859,2384.6811528385892,55.519284034632356,61827.52871115001,64908.169992749914,58746.8874295501,2759.251406710103,61452.230469
2021-11-05,61460.078125,62541.46875,60844.609375,61125.675781,30605102446,1766.8482818114571,-494.26629682170596,2261.114578633163,54.53313351656233,61839.20351579999,64907.32174196624,58771.085289633746,2683.3662615879525,61125.675781
2021-11-06,61068.875,61590.683594,60163.78125,61527.480469,29094934221,1638.2385304630516,-498.3008385360895,2136.539368999141,55.57865935896972,61837.896679850004,64906.52258730577,58769.27077239424,2593.6188389030985,61527.480469
2021-11-07,61554.921875,63326.988281,61432.488281,63326.988281,24726754302,1662.3570005295333,-379.3458947756865,2041.7028953052197,60.01348659067906,61902.94218765,65039.17202546996,58766.712349830035,2543.6817789814486,63326.988281
2021-11-08,63344.066406,67673.742188,63344.066406,67566.828125,41125608330,2000.5298406952497,-32.93844368797613,2033.4682843832259,68.09546761890421,62068.18398449999,65944.98880178953,58191.379167210456,2672.4726452684886,67566.828125
2021-11-09,67549.734375,68530.335938,66382.0625,66971.828125,42357991721,2195.217623267301,129.39947110726007,2065.818152160041,66.07706757340092,62117.13359385,66209.63868418855,58024.62850351144,2635.029844749311,66971.828125
2021-11-10,66953.335938,68789.625,63208.113281,64995.230469,48730828378,2165.056755307887,79.39088251827707,2085.66587278961,59.7419533096305,62256.386523550005,66537.27305567448,57975.49999142554,2845.4928357672175,64995.230469
2021-11-11,64978.890625,65579.015625,64180.488281,64949.960938,35880633236,2113.1421895584062,21.981053415036513,2091.1611361433697,59.601014776233846,62469.2712892,66840.36767286863,58098.17490553136,2742.1381577838447,64949.960938
2021-11-12,64863.980469,65460.816406,62333.914063,64155.941406,36084893887,1985.0464025631227,-84.89178686419791,2069.9381894273206,57.058404335442226,62607.3875001,67008.26742483812,58206.50757536187,2769.621313870713,64155.941406
2021-11-13,64158.121094,64915.675781,63303.734375,64469.527344,30474228777,1887.0802465233646,-146.28635432316491,2033.3666008465295,57.82365755226612,62784.3220704,67185.8977740391,58382.7463667609,2686.9298918799477,64469.527344
2021-11-14,64455.371094,65495.179688,63647.808594,65466.839844,25122092191,1868.378639979128,-131.99036869392148,2000.3690086730494,60.249849352676044,62905.67285165,67459.91139151309,58351.434311786914,2626.9614063170943,65466.839844
2021-11-15,65521.289063,66281.570313,63548.144531,63557.871094,30558763548,1680.151912458954,-256.17367697127634,1936.3255894302304,53.862837998452925,63065.3767579,67473.54068057676,58657.21283522323,2634.5660045801596,63557.871094
2021-11-16,63721.195313,63721.195313,59016.335938,60161.246094,46844335592,1242.5779588467485,-554.9981044667857,1797.5760633135342,44.76890654856822,63149.31972665001,67259.03491440308,59039.604538896936,2782.4441024672915,60161.246094
2021-11-17,60139.621094,60823.609375,58515.410156,60368.011719,39178392930,902.0830540640018,-716.3944073996261,1618.4774614636278,45.37352450984704,63136.613476649996,67278.94581304511,58994.281140254876,2748.5694679339135,60368.011719
2021-11-18,60360.136719,60948.5,56550.792969,56942.136719,41388338699,351.7442192163944,-1013.3865937977869,1365.1308130141813,37.95890404163091,62872.3220704,67810.81347852902,57933.830662270986,2866.3650081529195,56942.136719
2021-11-19,56896.128906,58351.113281,55705.179688,58119.578125,38702407772,10.485538042725238,-1083.7162199771649,1094.2017580198901,41.49736426387768,62683.8593751,68029.03375099014,57338.68499920986,2850.6199070705684,58119.578125
2021-11-20,58115.082031,59859.878906,57469.726563,59697.195313,30624264863,-131.15206369780935,-980.2830573741596,849.1309936763503,45.94583774691667,62602.77128920001,68075.98138567492,57129.56119272511,2817.729366779814,59697.195313
2021-11-21,59730.507813,60004.425781,58618.929688,58730.476563,26123447605,-317.7442495207724,-933.5001945576981,615.7559450369257,43.75049785655697,62489.07480485,68180.49820568257,56797.65140401744,2715.4269900812556,58730.476563
2021-11-22,58706.847656,59266.359375,55679.839844,56289.289063,35036121783,-655.0522953989203,-1016.6465923486768,361.59429694975654,38.719326927906764,62142.21914079999,68426.31041876388,55858.1278628361,2777.647885861166,56289.289063
2021-11-23,56304.554688,57875.515625,55632.761719,57569.074219,37485803899,-809.7688739370788,-937.0905367094682,127.32166277238949,42.45536688814803,61872.170507999996,68448.1699968327,55296.17101916729,2739.4411730139395,57569.074219
2021-11-24,57565.851563,57803.066406,55964.222656,56280.425781,36635566789,-1024.555597202736,-921.5018079801004,-103.0537892226356,39.82267246008909,61613.58027359999,68627.46261727637,54599.69792992361,2675.112785655801,56280.425781
2021-11-25,57165.417969,59367.96875,57146.683594,57274.679688,34284016248,-1101.8462442490272,-799.0339640211133,-302.8122802279139,42.771360417359006,61421.030468950004,68684.90308081596,54157.15785708404,2704.572084466101,57274.679688
